Number,Chassis_maker,Body_maker,Model,body_model,year,area,other,other_2,other_3
旭川230あ・・・9,日野自動車,JBUS,BJG-HU8JMFP,ブルーリボンシティハイブリッド,2008,市内,-,-,
旭川230い・・10,日野自動車,JBUS,BJG-HU8JMFP,ブルーリボンシティハイブリッド,2009,市内,-,-,
旭川230う・・11,日野自動車,JBUS,BJG-HU8JMFP,ブルーリボンシティハイブリッド,2009,長距離,-,-,
旭川230か・・11,いすゞ自動車,JBUS,PJ-LV234L1,エルガノンステップ,2006,市内,西東京バス,A10627,←旭川200か1418
旭川230い・・12,日野自動車,JBUS,BJG-HU8JMFP,ブルーリボンシティハイブリッド,2010,市内,-,-,
旭川230い・・13,日野自動車,JBUS,BJG-HU8JMFP,ブルーリボンシティハイブリッド,2010,長距離,-,-,
旭川230か・・81,三菱ふそうトラック・バス,MFBM,2TG-MS06GP,エアロエース,2025,都市間,-,-,
旭川200え・555,三菱ふそうトラック・バス,MFBM,PA-MK27FM,エアロミディMK,2005,市内,東急バス　,S675,
旭川230あ1992,三菱ふそうトラック・バス,MFBM,PJ-MP37JK,エアロスター,2005,市内,小田急バス,05-A6034,←旭川200か1354
旭川230あ8019,三菱ふそうトラック・バス,MFBM,2TG-MS06GP,エアロエース,2024,都市間,←旭川230い・・80,-,
旭川230あ8080,三菱ふそうトラック・バス,MFBM,2TG-MS06GP,エアロエース,2024,留萌/空港,-,-,
